cpu0,cpu1,cpu2,cpu3,memory_used,memory_percent,timestamp
94.9,15.2,16.0,11.1,4026920960,51.0,1747376800.653275
95.0,14.9,13.4,7.0,4026421248,51.0,1747376801.65456
41.4,16.3,11.5,61.0,4027428864,51.0,1747376802.655792
8.0,14.1,11.2,96.0,4026134528,51.0,1747376803.657078
16.2,13.0,6.1,95.1,4026109952,51.0,1747376804.658343
6.1,14.3,16.2,96.0,4027199488,51.0,1747376805.65958
11.9,12.1,15.0,94.9,4026105856,51.0,1747376806.660834
11.7,9.2,17.3,95.0,4025819136,51.0,1747376807.661943
19.2,3.0,14.9,94.9,4025876480,51.0,1747376808.662989
27.6,11.1,89.0,0.0,4025810944,51.0,1747376809.664191
76.2,15.5,23.7,10.9,4026163200,51.0,1747376810.665697
95.9,9.2,13.9,11.1,4026159104,51.0,1747376811.667064
95.0,11.0,16.5,13.0,4026306560,51.0,1747376812.668391
96.0,3.1,11.2,12.1,4026105856,51.0,1747376813.669677
93.9,6.2,15.0,12.1,4026036224,51.0,1747376814.670989
95.0,12.2,14.0,20.0,4026368000,51.0,1747376815.672175
87.0,6.2,13.3,21.0,4025765888,51.0,1747376816.676222
73.7,11.3,13.9,36.4,4026421248,51.0,1747376817.677364
95.0,11.1,12.0,13.0,4026531840,51.0,1747376818.678835
94.9,4.1,12.1,11.1,4026531840,51.0,1747376819.680152
96.0,13.0,12.4,15.8,4027043840,51.0,1747376820.681282
81.0,7.1,10.3,28.0,4026793984,51.0,1747376821.682534
2.0,24.8,14.7,96.0,4026933248,51.0,1747376822.683634
54.5,20.0,14.1,44.0,4026871808,51.0,1747376823.685124
95.0,13.0,12.1,1.0,4026765312,51.0,1747376824.686705
57.4,21.4,13.9,48.5,4027404288,51.0,1747376825.687962
96.0,15.2,18.2,3.0,4027129856,51.0,1747376826.689085
95.1,15.8,13.4,5.1,4027789312,51.0,1747376827.690121
95.0,20.0,14.3,3.0,4027006976,51.0,1747376828.691169
95.0,10.2,9.3,14.0,4026994688,51.0,1747376829.692242
96.0,7.0,6.1,20.2,4028026880,51.0,1747376830.693473
60.2,3.0,14.1,54.0,4026990592,51.0,1747376831.694678
11.1,72.7,19.2,30.0,4026728448,51.0,1747376832.695753
3.0,94.9,15.5,14.0,4026208256,51.0,1747376833.696826
26.3,74.0,19.6,11.0,4026191872,51.0,1747376834.697978
85.0,17.3,16.5,17.2,4026445824,51.0,1747376835.69905
36.0,66.7,16.7,13.1,4025929728,51.0,1747376836.700084
6.1,96.0,22.0,14.1,4026953728,51.0,1747376837.701247
3.0,95.1,12.5,11.9,4026036224,51.0,1747376838.702432
19.0,85.9,15.0,11.1,4025905152,51.0,1747376839.703635
10.2,95.1,17.2,14.0,4027195392,51.0,1747376840.705127
11.1,96.0,3.2,12.9,4027191296,51.0,1747376841.706571
10.9,95.0,16.2,16.2,4027478016,51.0,1747376842.708083
12.0,96.0,13.0,11.2,4026920960,51.0,1747376843.710677
8.2,96.0,4.1,12.0,4026916864,51.0,1747376844.711854
11.2,95.0,19.0,17.0,4028465152,51.0,1747376845.712914
3.0,96.0,13.4,11.9,4027936768,51.0,1747376846.714005
5.0,94.9,25.3,10.3,4027936768,51.0,1747376847.715187
7.9,95.0,20.0,7.2,4027154432,51.0,1747376848.71637
16.3,95.9,2.0,9.0,4027142144,51.0,1747376849.71749
16.8,95.0,10.1,14.1,4027129856,51.0,1747376850.718594
16.0,94.9,10.2,12.1,4026359808,51.0,1747376851.719768
14.9,96.0,7.3,9.2,4027392000,51.0,1747376852.720941
14.1,96.0,19.4,3.9,4026601472,51.0,1747376853.722044
18.2,91.9,11.1,5.2,4026601472,51.0,1747376854.72536
82.7,25.3,10.9,17.0,4027375616,51.0,1747376855.726576
95.0,7.0,20.2,8.2,4027092992,51.0,1747376856.727667
95.9,13.1,11.3,13.9,4027617280,51.0,1747376857.729124
25.3,24.8,12.2,65.3,4027604992,51.0,1747376858.732931
10.1,54.0,22.0,43.4,4027609088,51.0,1747376859.737672
16.5,95.9,17.2,2.0,4027863040,51.0,1747376860.738771
10.2,95.0,19.8,3.0,4027326464,51.0,1747376861.741672
7.9,96.0,15.3,20.2,4027850752,51.0,1747376862.745029
61.0,13.1,14.0,36.4,4027580416,51.0,1747376863.746596
77.8,10.2,8.2,32.7,4027584512,51.0,1747376864.74796
95.0,14.0,13.3,16.3,4028092416,51.0,1747376865.749088
95.0,14.7,6.0,12.9,4027056128,51.0,1747376866.750145
95.1,5.2,15.6,17.2,4027568128,51.0,1747376867.752129
