cpu0,cpu1,cpu2,cpu3,memory_used,memory_percent,timestamp
9.2,2.0,5.1,2.0,3420139520,43.6,1747368652.098457
11.9,3.0,7.0,3.0,3420139520,43.6,1747368653.099403
11.0,3.0,2.0,0.0,3420127232,43.6,1747368654.100341
2.0,15.8,6.0,11.0,3420639232,43.6,1747368655.101304
3.0,14.1,5.0,8.1,3420737536,43.6,1747368656.102277
0.0,14.0,2.0,1.0,3419852800,43.6,1747368657.103219
2.0,9.1,3.0,5.1,3419344896,43.6,1747368658.104167
0.0,10.9,3.0,7.0,3419332608,43.6,1747368659.105107
5.9,12.0,2.1,6.9,3419439104,43.6,1747368660.106092
13.0,3.0,4.0,8.0,3419324416,43.6,1747368661.107933
1.0,3.0,1.0,16.8,3419066368,43.6,1747368662.109261
2.0,10.1,2.0,6.0,3419070464,43.6,1747368663.110331
3.0,10.0,2.0,6.1,3419054080,43.6,1747368664.111286
5.1,12.1,6.1,2.0,3421122560,43.6,1747368665.112248
4.0,11.0,4.0,6.0,3420774400,43.6,1747368666.113217
3.0,21.0,2.0,6.1,3420610560,43.6,1747368667.114253
0.0,9.1,2.0,0.0,3420606464,43.6,1747368668.115249
4.0,10.0,3.0,6.1,3419836416,43.6,1747368669.116195
15.2,5.0,4.0,8.9,3421249536,43.6,1747368670.117486
4.0,1.0,11.0,2.0,3421593600,43.6,1747368671.118849
1.0,2.0,3.0,15.8,3421364224,43.6,1747368672.120762
3.0,2.0,3.0,22.2,3421364224,43.6,1747368673.122127
3.0,2.0,2.0,10.9,3421360128,43.6,1747368674.12314
3.0,5.0,9.0,16.2,3421937664,43.6,1747368675.12409
4.0,3.0,1.0,11.1,3421577216,43.6,1747368676.126221
3.0,0.0,3.0,17.0,3421356032,43.6,1747368677.127195
0.0,1.0,11.0,5.0,3421376512,43.6,1747368678.129069
6.9,2.0,18.8,1.0,3421368320,43.6,1747368679.130803
9.0,7.1,4.0,11.9,3420848128,43.6,1747368680.131879
3.0,2.0,2.0,16.2,3420028928,43.6,1747368681.132865
2.0,1.0,1.0,9.1,3419815936,43.6,1747368682.133909
1.0,0.0,2.0,15.0,3419803648,43.6,1747368683.134912
9.1,1.0,1.0,8.0,3419815936,43.6,1747368684.136615
12.1,7.8,5.1,12.1,3419361280,43.6,1747368685.137856
11.9,2.0,5.0,6.0,3418316800,43.6,1747368686.138868
1.0,0.0,14.1,6.9,3418259456,43.6,1747368687.139882
1.0,1.0,10.1,1.0,3418263552,43.6,1747368688.140867
1.0,3.9,10.1,6.0,3418255360,43.6,1747368689.141867
7.0,4.0,19.0,10.1,3419807744,43.6,1747368690.142918
10.1,1.0,4.0,3.0,3419033600,43.6,1747368691.143944
5.0,2.0,0.0,13.0,3418742784,43.6,1747368692.144886
0.0,3.0,0.0,9.0,3418742784,43.6,1747368693.14586
11.0,1.0,1.0,5.0,3418734592,43.6,1747368694.146803
9.2,5.0,15.2,7.1,3419598848,43.6,1747368695.147766
2.0,4.0,11.9,0.0,3418488832,43.6,1747368696.148778
0.0,1.0,2.0,18.2,3418472448,43.6,1747368697.150375
4.0,1.0,3.0,15.0,3416612864,43.6,1747368698.151808
2.0,2.0,2.0,7.1,3416494080,43.6,1747368699.153137
18.6,5.0,6.9,4.1,3419332608,43.6,1747368700.155183
16.5,2.0,5.9,12.9,3419074560,43.6,1747368701.156475
11.0,0.0,1.0,2.0,3419070464,43.6,1747368702.157427
8.1,1.0,2.0,10.0,3419054080,43.6,1747368703.158457
7.0,11.0,2.0,0.0,3419045888,43.6,1747368704.159812
9.9,11.1,4.0,1.0,3418791936,43.6,1747368705.161245
8.0,11.9,4.0,2.0,3418337280,43.6,1747368706.163513
1.0,20.2,2.1,2.0,3418271744,43.6,1747368707.165102
6.0,9.1,4.0,0.0,3418271744,43.6,1747368708.166414
7.0,0.0,1.0,10.9,3417493504,43.6,1747368709.167728
3.0,7.9,6.0,10.1,3418841088,43.6,1747368710.16879
6.1,1.0,4.0,12.0,3418779648,43.6,1747368711.16991
5.1,11.0,3.0,0.0,3418779648,43.6,1747368712.171536
2.0,1.0,17.3,2.0,3418779648,43.6,1747368713.172739
7.0,3.0,9.2,2.0,3418771456,43.6,1747368714.173732
8.2,5.1,5.1,14.9,3419652096,43.6,1747368715.174692
1.0,2.0,11.0,0.0,3419021312,43.6,1747368716.175649
5.0,3.0,14.0,3.0,3419021312,43.6,1747368717.176675
2.0,1.0,11.0,10.8,3419021312,43.6,1747368718.177674
1.0,0.0,10.1,0.0,3418230784,43.6,1747368719.178634
4.0,3.0,15.8,10.1,3419111424,43.6,1747368720.179674
2.0,2.0,11.0,3.0,3418488832,43.6,1747368721.180768
3.0,3.0,12.0,6.0,3418324992,43.6,1747368722.18188
3.0,1.0,11.0,8.0,3418451968,43.6,1747368723.184087
3.0,2.0,18.4,2.0,3418447872,43.6,1747368724.185486
6.1,6.0,12.0,7.0,3419992064,43.6,1747368725.18653
2.0,12.9,1.0,6.1,3420311552,43.6,1747368726.187487
2.0,14.0,1.0,1.0,3420250112,43.6,1747368727.188456
1.0,9.1,3.0,6.1,3418959872,43.6,1747368728.189399
2.0,16.2,3.0,6.0,3419049984,43.6,1747368729.190415
10.0,12.0,4.0,2.0,3419500544,43.6,1747368730.191697
4.0,10.0,4.0,6.0,3418787840,43.6,1747368731.192999
2.0,10.1,3.0,5.1,3418685440,43.6,1747368732.194323
11.0,2.0,2.0,2.0,3418685440,43.6,1747368733.195663
2.0,2.0,2.0,15.0,3418669056,43.6,1747368734.197379
6.1,6.1,6.1,26.3,3419447296,43.6,1747368735.198752
1.0,3.0,2.0,11.9,3418669056,43.6,1747368736.199728
3.0,0.0,2.0,18.0,3418669056,43.6,1747368737.200662
2.0,2.0,2.0,10.0,3418669056,43.6,1747368738.201622
2.0,1.0,0.0,14.0,3418648576,43.6,1747368739.202578
7.1,11.1,5.9,21.8,3418804224,43.6,1747368740.203514
5.0,3.0,2.0,9.1,3418660864,43.6,1747368741.204458
5.9,1.0,1.0,15.0,3418656768,43.6,1747368742.205391
11.1,2.0,1.0,6.0,3418656768,43.6,1747368743.206373
1.0,3.9,2.0,10.0,3418648576,43.6,1747368744.20736
6.9,5.1,10.1,13.1,3419934720,43.6,1747368745.209084
13.9,6.0,2.0,13.0,3419443200,43.6,1747368746.210484
14.9,1.0,1.0,1.0,3419426816,43.6,1747368747.211435
11.0,2.0,3.0,5.1,3419426816,43.6,1747368748.212386
1.0,11.8,3.0,5.0,3419426816,43.6,1747368749.213422
7.1,5.0,13.1,2.0,3421491200,43.6,1747368750.214499
4.0,1.0,17.2,6.9,3420045312,43.6,1747368751.215444
8.1,2.0,4.0,0.0,3419934720,43.6,1747368752.216467
1.0,3.0,12.1,5.1,3419938816,43.6,1747368753.217617
2.0,0.0,10.0,5.1,3419480064,43.6,1747368754.218972
5.9,5.1,12.0,4.1,3418386432,43.6,1747368755.220331
2.0,4.0,11.1,7.0,3417931776,43.6,1747368756.222084
2.0,3.0,16.8,11.0,3417870336,43.6,1747368757.223305
2.0,1.0,9.1,1.0,3417870336,43.6,1747368758.224257
3.0,1.0,11.1,6.1,3417858048,43.6,1747368759.225204
8.0,8.8,12.1,8.1,3418648576,43.6,1747368760.226169
1.0,4.0,10.9,2.0,3418370048,43.6,1747368761.227114
0.0,1.0,16.2,7.0,3418345472,43.6,1747368762.22806
2.0,2.0,9.2,8.0,3418345472,43.6,1747368763.229009
2.0,3.0,10.2,3.0,3418349568,43.6,1747368764.229993
7.0,4.0,16.8,8.1,3419385856,43.6,1747368765.230977
2.0,4.0,12.0,1.0,3418886144,43.6,1747368766.231918
10.1,4.0,14.9,7.1,3418869760,43.6,1747368767.233626
1.0,1.0,10.1,11.0,3418869760,43.6,1747368768.23519
2.0,1.0,12.0,1.0,3418603520,43.6,1747368769.236249
8.0,3.0,16.0,7.1,3419484160,43.6,1747368770.237276
2.0,2.0,11.1,7.1,3419373568,43.6,1747368771.238634
1.0,1.0,9.2,1.0,3419373568,43.6,1747368772.23994
0.0,1.0,17.0,7.0,3419373568,43.6,1747368773.241253
1.0,1.0,11.0,7.0,3419369472,43.6,1747368774.242358
2.0,9.0,13.0,4.0,3418853376,43.6,1747368775.243388
3.0,3.0,11.0,6.1,3415597056,43.5,1747368776.244338
1.0,1.0,12.0,6.1,3415597056,43.5,1747368777.245376
3.0,0.0,11.8,1.0,3415597056,43.5,1747368778.247085
3.0,4.9,16.3,4.1,3415588864,43.5,1747368779.248321
6.1,3.0,17.0,6.9,3419451392,43.6,1747368780.249269
4.0,2.0,16.0,3.1,3419521024,43.6,1747368781.250221
7.8,2.0,10.9,4.9,3418218496,43.6,1747368782.251265
2.0,2.0,10.1,2.0,3418095616,43.6,1747368783.252295
8.1,5.0,17.8,2.0,3418337280,43.6,1747368784.253336
11.1,2.0,13.0,7.0,3419992064,43.6,1747368785.254527
2.0,1.0,11.0,4.0,3419627520,43.6,1747368786.255531
5.2,1.0,13.9,1.0,3419635712,43.6,1747368787.256835
13.1,5.1,13.3,5.0,3420381184,43.6,1747368788.257917
0.0,4.9,9.1,1.0,3420147712,43.6,1747368789.259957
22.0,12.2,4.0,6.1,3418857472,43.6,1747368790.261177
13.9,2.0,3.0,6.9,3418877952,43.6,1747368791.262242
14.1,1.0,2.0,0.0,3418877952,43.6,1747368792.263213
21.6,4.0,3.0,5.0,3418484736,43.6,1747368793.264174
2.0,11.0,0.0,2.0,3418349568,43.6,1747368794.265116
15.0,6.1,8.0,21.4,3419639808,43.6,1747368795.266084
6.1,4.0,4.0,12.0,3419381760,43.6,1747368796.267339
1.0,3.0,1.0,13.1,3419381760,43.6,1747368797.269052
7.9,2.0,2.0,10.0,3419377664,43.6,1747368798.270449
6.1,3.0,6.9,9.0,3419373568,43.6,1747368799.271457
12.1,3.0,6.9,9.9,3419889664,43.6,1747368800.274017
18.2,8.0,5.1,4.0,3419631616,43.6,1747368801.275771
1.0,6.1,1.0,9.1,3419631616,43.6,1747368802.27709
1.0,3.0,2.0,10.0,3419627520,43.6,1747368803.278172
10.0,6.0,4.9,1.0,3419619328,43.6,1747368804.279153
16.8,5.0,3.1,6.0,3421941760,43.6,1747368805.280459
18.6,7.1,5.1,4.1,3420377088,43.6,1747368806.281601
1.0,18.0,4.0,3.0,3420377088,43.6,1747368807.282694
2.0,0.0,2.0,11.0,3420389376,43.6,1747368808.284016
9.2,5.0,1.0,1.0,3420385280,43.6,1747368809.285014
5.1,7.1,5.0,15.2,3421413376,43.6,1747368810.286442
3.0,3.0,4.0,15.0,3421220864,43.6,1747368811.287546
0.0,5.1,2.0,10.1,3420114944,43.6,1747368812.288863
1.0,1.0,8.1,10.9,3420631040,43.6,1747368813.290199
2.0,1.0,1.0,10.1,3420626944,43.6,1747368814.291197
12.0,2.0,13.9,5.1,3422965760,43.6,1747368815.292153
10.2,2.0,8.1,3.0,3422281728,43.6,1747368816.294444
19.0,1.0,2.0,2.0,3422171136,43.6,1747368817.295875
7.1,6.0,5.1,2.0,3422171136,43.6,1747368818.297231
1.0,10.1,5.9,5.0,3421396992,43.6,1747368819.298803
8.1,13.9,5.1,2.0,3421921280,43.6,1747368820.299782
2.0,2.0,16.8,3.0,3421753344,43.6,1747368821.300726
15.2,2.0,2.0,3.0,3421630464,43.6,1747368822.302
1.0,0.0,5.0,10.1,3421630464,43.6,1747368823.30334
3.0,2.0,6.1,11.0,3421364224,43.6,1747368824.304678
6.1,6.9,13.0,3.0,3422396416,43.6,1747368825.305798
